Date,Brent Crude Price,WTI Crude Price,Natural Gas Price
02-01-2018,66.65,60.37,6.24
03-01-2018,67.85,61.61,6.24
04-01-2018,68.73,61.98,4.65
05-01-2018,68.01,61.49,4.65
06-01-2018,68.48,61.73,2.89
07-01-2018,69.08,62.92,2.93
08-01-2018,69.79,63.6,3.16
09-01-2018,70.36,63.81,3.16
10-01-2018,69.64,64.22,4.06
11-01-2018,70.31,63.82,5.46
12-01-2018,69.4,63.92,3.92
13-01-2018,69.19,63.96,3.92
14-01-2018,69.48,63.38,3.2
15-01-2018,68.56,63.66,3.13
16-01-2018,69.32,64.45,3.35
17-01-2018,69.81,65.69,3.54
18-01-2018,69.91,65.62,3.54
19-01-2018,71.08,66.27,3.58
20-01-2018,70.08,65.71,3.6
21-01-2018,68.41,64.64,3.6
22-01-2018,67.78,64.82,3.34
23-01-2018,67.78,65.92,3.06
24-01-2018,68.6,65.5,2.91
25-01-2018,67.45,64.18,2.85
26-01-2018,67.69,63.48,2.75
27-01-2018,66.75,61.91,2.74
28-01-2018,65.74,61.3,2.74
29-01-2018,64.26,59.2,2.66
30-01-2018,63.04,59.41,2.6
31-01-2018,62.2,59.33,2.58
01-02-2018,61.94,60.7,2.53
02-02-2018,62.29,61.48,2.49
03-02-2018,62.86,61.89,2.49
04-02-2018,64.3,61.91,2.61
05-02-2018,64.95,61.73,2.65
06-02-2018,64.68,62.72,2.65
07-02-2018,64.81,63.52,2.58
08-02-2018,66.12,63.81,2.6
09-02-2018,67.04,62.94,2.59
10-02-2018,67.96,61.43,2.66
11-02-2018,67.59,60.98,2.67
12-02-2018,66.08,61.19,2.67
13-02-2018,64.23,62.49,2.7
14-02-2018,64.26,62.54,2.7
15-02-2018,65.78,61.09,2.8
16-02-2018,65.67,60.13,2.8
17-02-2018,65.09,62.02,2.71
18-02-2018,63.87,61.35,2.78
19-02-2018,65.19,60.69,2.76
20-02-2018,64.53,60.89,2.69
21-02-2018,64.2,61.16,2.7
22-02-2018,63.61,62.29,2.62
23-02-2018,63.67,62.01,2.62
24-02-2018,64.68,63.37,2.71
25-02-2018,64.82,65.1,2.74
26-02-2018,66,64.25,2.62
27-02-2018,68.15,65.8,2.58
28-02-2018,68.98,65.49,2.63
01-03-2018,69.03,65.21,2.6
02-03-2018,68.81,64.3,2.64
03-03-2018,68.63,64.87,2.81
04-03-2018,68.13,63.05,2.75
05-03-2018,69.02,63.41,2.75
06-03-2018,69.02,63.35,2.81
07-03-2018,66.04,63.53,2.81
08-03-2018,66.54,62.03,2.81
09-03-2018,66.51,63.4,2.78
10-03-2018,68.19,65.48,2.78
11-03-2018,70.67,66.81,2.74
12-03-2018,72.74,67.07,2.76
13-03-2018,71.44,67.35,2.82
14-03-2018,73.18,66.23,2.88
15-03-2018,72.05,66.5,2.84
16-03-2018,71.71,68.44,2.85
17-03-2018,73.73,68.3,2.8
18-03-2018,74.85,68.26,2.78
19-03-2018,74.62,67.61,2.78
20-03-2018,74.54,67.66,2.79
21-03-2018,75.86,68,2.81
22-03-2018,73.79,68.18,2.81
23-03-2018,75.39,68.11,2.82
24-03-2018,75.33,68.56,2.75
25-03-2018,75.92,67.28,2.75
26-03-2018,74.85,67.91,2.77
27-03-2018,73.14,68.45,2.75
28-03-2018,73.45,69.71,2.75
29-03-2018,74.75,70.74,2.74
30-03-2018,74.16,68.83,2.77
31-03-2018,77.6,71.16,2.75
01-04-2018,77.59,71.36,2.78
02-04-2018,77.37,70.69,2.75
03-04-2018,78.17,71.01,2.84
04-04-2018,78.94,71.34,2.83
05-04-2018,78.19,71.43,2.85
06-04-2018,80.09,71.47,2.75
07-04-2018,78.38,71.23,2.75
08-04-2018,78.34,72.26,2.77
09-04-2018,80.42,72.09,2.76
10-04-2018,78.69,71.85,2.89
11-04-2018,78.9,70.77,2.88
12-04-2018,76.6,67.92,2.88
13-04-2018,74.51,67.92,2.84
14-04-2018,75.89,66.8,2.83
15-04-2018,76.45,68.24,2.94
16-04-2018,74.54,66.98,2.91
17-04-2018,73.41,65.81,2.89
18-04-2018,72.91,64.76,2.89
19-04-2018,73.23,65.51,2.89
20-04-2018,75.23,64.75,3.02
21-04-2018,75.11,65.96,2.91
22-04-2018,74.58,65.77,3
23-04-2018,74.86,66.1,2.98
24-04-2018,75.07,66.38,2.98
25-04-2018,74.77,66.63,2.99
26-04-2018,72.02,66.91,3.02
27-04-2018,74.87,65.01,2.99
28-04-2018,74.92,65.91,2.95
29-04-2018,74.25,65.09,2.96
30-04-2018,72.87,65.92,3.08
01-05-2018,73.67,65.68,2.95
02-05-2018,72.82,69.02,2.96
03-05-2018,73.58,69.91,2.98
04-05-2018,76.09,75.23,3.01
05-05-2018,76.26,77.41,2.99
06-05-2018,77.44,73.45,2.96
07-05-2018,76.71,74.13,2.9
08-05-2018,75.87,73.89,2.9
09-05-2018,76.99,74.19,2.91
10-05-2018,77.09,74.19,2.91
11-05-2018,74.98,73.05,2.9
12-05-2018,77.08,73.78,2.9
